연번,제목,본문
121,"[의사진단서 발급기관] 의사진단서를 제출하는 경우에, “김○○내과”처럼 일반 개인병원에서 발급받은 의사진단서를 제출해도 되나요?","인사혁신처에서 주관하는 9급 공개경쟁채용시험의 저소득층 구분모집에 응시하는 자는 응시원수 접수일 또는 마감일 기준으로 「국민기초생활보장법」에 따른 수급자 또는 「한부모가족지원법」에 따른 지원대상자에 해당하는 기간(급여 또는 지원을 신청한 날)이 계속하여 2년 이상인 경우에 한해 응시자격이 인정됩니다. (단, 수급자 또는 지원대상자에 해당하는 기간이 합산하여(중간 공백없이) 계속하여 2년 이상인 경우도 응시 가능) 이 때, 급여의 종류는 무관합니다."
122,"[급여의 종류] 9급 공채시험 저소득층 구분모집 지원 시 수급자증명서가 있어야하는 걸로 아는데요, 주거급여만 받더라도 수급자 인정이 가능한가요? ",인사혁신처에서 주관하는 9급 공개경쟁채용시험의 저소득층 구분모집에 응시하는 자는 응시원수 접수일 또는 마감일 기준으로 「국민기초생활보장법」에 따른 수급자 또는 「한부모가족지원법」에 따른 지원대상자에 해당하는 기간(급여 또는 지원을 신청한날)이 계속하여 2년 이상인 경우에 한해 응시자격이 인정됩니다. 귀하의 말씀처럼 위 해당법률에 의한 수급기간 및 지원기간이 합산하여(중간 공백없이) 연속하여 2년 이상인 경우에는 저소득층 구분모집 응시자격이 인정됩니다.
123,"[보호기간 및 수급기간 합산] 나이 제한으로 한부모가족지원법에 따른 지원대상자 자격이 사라지고, 기초생활수급자 기준을 충족하여 수급자 자격을 취득했습니다. 이 때 이전의 지원대상자 기간도 합산하여 계산 가능합니까?",공무원임용시험령 제2조에 의거 국가직 9급 공개경쟁채용시험 저소득층 구분모집 응시대상은「국민기초생활보장법」에 따른 수급자와 「한부모가족지원법」에 따른 지원대상자만 해당됩니다. 원칙상 차상위 계층은「국민기초생활보장법」에 따른 수급권자 아니기에 저소득층 구분모집에 응시할 수 없습니다. 다만 「국민기초생활보장법」제14조의2에 따라 차상위 계층이라도 예외적으로 수급권자로 인정되는 경우에는 그 인정기간이 응시원서 접수일 또는 접수마감일까지 계속하여 2년 이상인 경우에 저소득층 구분모집에 응시할 수 있습니다.
124,[차상위 계층] 차상위 계층도 저소득층 구분모집에 응시원서를 낼 수 있나요?,"군복무(현역, 대체복무)로 인하여 그 기간에 급여(지원) 대상에서 제외된 경우에도 가구주가 그 기간에 계속하여 수급자(지원대상자)로 있었다면 응시자도 수급자(지원대상자)에 해당하는 것으로 봅니다. 다만, 군복무 종료 후 다시 수급자(지원대상자)로 결정되어야 기간의 계속성을 인정하며, 이 경우에도 급여(지원)의 신청을 기간 종료 후 2개월 내에 하거나, 급여(지원)의 결정이 기간 종료 후 2개월 내여야 합니다. 따라서 귀하의 경우, 비록 수급자 결정이 기간 종료 후 2개월을 넘어서 이루어졌지만, 귀하께서 전역 후 2개월 이내에 급여 신청을 하셨으므로, 기간의 연속성이 인정됩니다."
125,"[저소득층 구분모집 응시요건 판단] 군 입대 전까지 수급자 급여를 받다가 군대를 갔고, 가구주는 계속 급여를 받았습니다. 2021.5.17 전역 후 2021. 6. 9 다시 수급자 신청을 했습니다. 그런데 2021.7.24.에 수급자 결정이 된 경우, 저소득층 전형으로 응시 가능한가요? ","저소득층 구분모집의 합격선이 해당 직렬의 일반인 모집 합격선 보다 더 높은 경우, 공무원임용시험령 20조의4 제2항에 따라 일반인 모집의 합격선 이상의 점수를 받은 저소득층 응시자는 당초의 선발예정인원을 초과하여 합격될 수 있습니다. 가령, 세무직 저소득층 구분모집 합격선이 365점이고 세무직 일반모집 합격선이 359점인 경우, 위 규정에 따라 저소득층 구분모집 응시자 중 359점 이상 365점 미만의 수험생은 저소득층 구분모집 선발예정인원을 초과하여 합격 처리됩니다. 이 경우 면접시험에서는 필기시험 초과합격인원의 67%의 범위 내에서 선발예정인원을 초과하여 최종 합격자(당초 선발예정인원 + 필기시험 초과합격인원 * 0.67)를 결정할 수 있습니다. * 초과합격인원 산정시 소수점 이하는 버림"
126,[저소득층 합격선이 더 높은 경우] 일반 모집에서는 합격할 점수인데 저소득층 구분모집의 합격선이 더 높아 탈락한다면 오히려 불이익을 받는 것 아닌가요?,"공무원임용시험령 제20조의4 제1항에 따라, 9급 공개경쟁채용시험에서 선발예정인원의 100분의 2이상에 해당하는 인원을 저소득층으로 의무 선발하고 있습니다. 다만 선발예정인원이 5명 미만인 시험단위에서는 저소득층을 별도 선발하지 않으므로 매년도 1월에 발표되는「국가공무원 공개경쟁채용시험 계획」을 통해 저소득층 모집단위 및 인원 등을 확인하시기 바랍니다."
127,[저소득층 선발규모] 인사혁신처에서 시행하는 9급 공개경쟁채용시험에서 전체 채용인원 중 저소득층 채용비율은 어느 정도인지요?,"국민기초생활보장사업은 보건복지부에서, 한부모가족지원사업은 여성가족부에서 각 지방자치단체를 통해 시행하고 있습니다. 따라서 본인의 주민등록상 주소지의 시·군·구청‧행정복지센터에 가시면 본인이 수급자(지원대상자)에 해당되는지 또 수급(지원)기간은 어떻게 되는지 등을 확인할 수 있습니다."
128,[저소득층 여부 확인] 저소득층 구분모집에 응시하고 싶은데 제가 저소득층인지 어디에서 확인해야 하나요?,응시원서 접수 전에 본인이 기초생활수급자에 해당하는지 여부를 반드시 본인 소재지 관할 시·군·구청 및 주소지 관할 행정복지센터에 확인하시기 바랍니다. 저소득층 구분모집에 응시하기 위해서는 응시자 본인이 「국민기초생활보장법」에 따른 수급자로 결정되어 수급자로 신청한 날로부터 원서접수일 또는 원서접수 마감일까지 수급자 자격을 2년간 계속하여 유지해야만 합니다. 따라서 부모님이 수급자에 해당하는지 여부와 관계없이 귀하가 위 사항에 해당되지 않는다면 저소득층 구분모집에 응시할 수 없습니다.
129,[응시자격] 부모님은 기초생활수급자인데 저는 수급자가 아닙니다. 이런 경우 제가 저소득층 모집에 응시할 수 있는지요?,"지원공상군경(*공상은 맞으나 상처를 입을 당시 일부 본인 부주의가 포함됨이 인정되는 공상군경)도「국가유공자등예우및지원에관한법률 시행령」 제14조제3항에 따른 상이등급에 해당하므로 장애인 구분모집 응시대상에 포함됩니다. 또한 지원공상군경에게도 관계법령에 의해 일정비율의 취업지원 대상자 가점이 부여됩니다. 그러나, 개인별로 적용되는 기준이 다를 수 있기 때문에 본인이 취업지원 대상자로 등록되어 있는지, 몇 퍼센트의 가점을 받을 수 있는지 등에 대한 정확한 정보는 국가보훈부 및 지방보훈청 등(보훈부 상담센터 ☏1577-0606)으로 본인이 직접 사전에 확인하시기 바랍니다."
130,[지원공상군경] 지원공상군경 7급으로 등록되어 있는 경우도 장애인 구분모집 응시가 가능합니까? 취업지원 가산점도 부여됩니까?,"장애인 구분모집 응시대상은 「장애인복지법 시행령」제2조에 의하여 등록된 장애인과 「국가유공자 등 예우 및 지원에 관한 법률 시행령」제14조제3항의 규정에 의한 상이등급에 해당하는 자입니다. 이 때,「보훈보상대상자 지원에 관한 법률」제6조에 의한 신체검사를 통해 상이등급 판정을 받은 보훈보상대상자(재해부상 군경)는 동 법률 제6조제2항에 따라「국가유공자 등 예우 및 지원에 관한 법률 시행령」상의 상이등급자와 동일한 판정 효력을 인정받게 됩니다. 따라서 보훈보상대상자로 상이등급 판정을 받은 재해부상군경은 장애인 구분모집에 응시자격이 인정됩니다. 보다 자세한 사항은 국가보훈부 및 지방보훈청(보훈상담센터 1577-0606)로 문의하시기 바랍니다."
131,[보훈보상대상자] 「보훈보상대상자지원에관한법률」에 따라 재해부상군경으로 지정된 자도 장애인 구분모집 응시자격이 인정되나요?,"응시원서 접수마감일 기준으로 관계법령에 따라 장애인으로 유효하게 등록되어 있었다면 응시원서 접수 이후 장애 재판정을 통해 장애인 등록이 취소되었더라도 장애인 구분모집 응시자격은 그대로 유지됩니다. 덧붙여, 최종합격 후 공무원으로 임용된 이후 장애인 등록이 취소되더라도 공무원 임용사실에는 아무런 영향이 없습니다."
132,"[원서접수 후 장애인 등록 취소] 응시원서 접수 당시에는 장애6급이었으나, 이후 재판정을 받아 장애인 등록이 취소되었습니다. 이 경우 장애인 구분모집 응시자격이 박탈되는 것인지요?","국가직 7급 및 9급 공개경쟁채용시험에서 일부직렬(교정·보호·검찰·마약수사·출입국관리·철도경찰 등)을 제외한 직렬(류)에서 장애인만이 응시할 수 있는 장애인 구분모집제를 시행하고 있습니다. 매년 1월에 공고되는「국가공무원 공개경쟁채용시험 계획」을 통해 장애인 구분모집 직렬과 선발예정인원을 확인하시기 바랍니다. 또한, 원서접수마감일 기준으로 장애인복지법 시행령 제2조에 따른 장애인 또는 국가유공자 등 예우 및 지원에 관한 법률 시행령 제14조제3항에 따른 상이등급기준에 유효하게 등록되어 있다면 장애인 구분모집에 장애의 종류 및 등급에 관계없이 응시할 수 있습니다."
133,[장애인 모집단위 별도공고] 장애인만이 응시하는 장애인 채용공고가 별도로 나는 것인가요? 그리고 장애 등급에 관계없이 응시가 가능한가요?,"장애인 및 상이등급에 해당하는 수험생은 장애인 구분모집단위 이외에 일반 모집단위에도 일반 수험생과 동등한 조건하에서 시험 응시가 가능합니다. 다만, 장애인 편의지원 서비스 중 중증 상지지체 및 뇌병변장애인, 시각장애인 등에게 제공되는 시험시간 연장은 장애인 모집단위에 한해서만 제공됩니다."
134,[장애인의 일반모집 응시 가능여부] 상이등급에 해당하는 유공자입니다. 7․9급 공채의 장애인 구분모집이 아닌 일반인 모집에도 응시가 가능합니까?,"장애인 구분모집(장애인고용촉진및직업재활법 시행령 제3조, 공무원임용시험령 제2조)과 취업지원대상자 가점 적용(국가유공자등예우및지원에관한법률 제31조)은 각각 다른 법령의 적용을 받는 것으로 관계법령에 의해 취업지원 대상자로 지정된 자는 어느 모집단위(일반 모집 또는 장애인 구분모집)에 응시하더라도 취업지원 대상자 가점을 부여받을 수 있습니다."
